Country,1990,1995,2000,2005,2010,2015,2019
Burundi,5439,5987,6379,7365,8676,10160,11531
Comoros,412,475,542,612,690,777,851
Djibouti,590,630,718,783,840,914,974
Eritrea,2259,2204,2292,2827,3170,3343,3497
Ethiopia,47888,57048,66225,76346,87640,100835,112079
Kenya,23725,27768,31965,36625,42031,47878,52574
Madagascar,11599,13475,15767,18337,21152,24234,26969
Malawi,9405,9844,11149,12626,14540,16745,18629
Mauritius,1056,1129,1185,1222,1248,1259,1270
Mayotte,95,123,150,178,209,240,266
Mozambique,12987,15483,17712,20494,23532,27042,30366
Réunion,611,674,737,792,831,863,889
Rwanda,7289,5836,7934,8840,10039,11369,12627
Seychelles,71,77,81,89,91,95,98
Somalia,7225,7492,8872,10447,12044,13797,15443
South Sudan,5493,5118,6199,7536,9508,10716,11062
Uganda,17354,20413,23650,27685,32428,38225,44270
United Republic of Tanzania,25204,29649,33499,38450,44347,51483,58005
Zambia,8037,9097,10416,11856,13606,15879,17861
Zimbabwe,10432,11411,11881,12077,12698,13815,14645
Angola,11848,13945,16395,19434,23356,27884,31825
Cameroon,11780,13600,15514,17733,20341,23298,25876
Central African Republic,2807,3223,3640,4038,4387,4493,4745
Chad,5963,7010,8356,10097,11952,14111,15947
Congo,2357,2708,3127,3623,4274,4856,5381
Democratic Republic of the Congo,34612,41576,47106,54786,64564,76245,86791
Equatorial Guinea,419,497,606,750,944,1169,1356
Gabon,949,1085,1228,1391,1624,1948,2173
Sao Tome and Principe,119,132,142,157,180,199,215
Botswana,1287,1469,1643,1799,1987,2121,2304
Eswatini,822,927,1005,1031,1065,1104,1148
Lesotho,1704,1899,2033,1996,1996,2059,2125
Namibia,1433,1628,1795,1938,2119,2315,2495
South Africa,36801,41436,44968,47881,51217,55386,58558
Benin,4978,5906,6866,7982,9199,10576,11801
Burkina Faso,8811,10090,11608,13422,15605,18111,20321
Cabo Verde,338,386,428,463,493,525,550
Cote d'Ivoire,11925,14200,16455,18355,20533,23226,25717
Gambia,956,1129,1318,1544,1793,2086,2348
Ghana,14773,17014,19279,21815,24780,27849,30418
Guinea,6352,7270,8241,9110,10192,11432,12771
Guinea-Bissau,975,1089,1201,1345,1523,1737,1921
Liberia,2076,2045,2848,3218,3891,4472,4937
Mali,8450,9586,10946,12776,15049,17439,19658
Mauritania,2034,2314,2630,3024,3494,4046,4526
Niger,8027,9490,11332,13624,16464,20002,23311
Nigeria,95212,107948,122284,138865,158503,181137,200964
Saint Helena,7,6,6,5,5,6,6
Senegal,7526,8690,9798,11090,12678,14578,16296
Sierra Leone,4320,4304,4585,5646,6416,7172,7813
Togo,3774,4226,4924,5612,6422,7323,8082
Algeria,25759,28758,31042,33150,35977,39728,43053
Egypt,56134,62334,68832,75524,82761,92443,100388
Libya,4437,4949,5358,5799,6198,6418,6777
Morocco,24807,26994,28794,30456,32343,34664,36472
Sudan,20148,24095,27275,30950,34545,38903,42813
Tunisia,8242,9125,9708,10107,10635,11180,11695
Western Sahara,217,256,314,438,480,526,582
Armenia,3538,3217,3070,2981,2877,2926,2958
Azerbaijan,7243,7775,8123,8539,9032,9623,10048
Bahrain,496,564,665,889,1241,1372,1641
Cyprus,767,855,943,1028,1113,1161,1199
Georgia,5410,4976,4362,4210,4099,4024,3997
Iraq,17419,20149,23498,26922,29742,35572,39310
Israel,4448,5271,5946,6529,7346,7978,8519
Jordan,3566,4589,5122,5766,7262,9267,10102
Kuwait,2095,1606,2045,2270,2992,3836,4207
Lebanon,2803,3528,3843,4699,4953,6533,6856
Oman,1812,2204,2268,2511,3041,4267,4975
Qatar,476,513,592,865,1856,2566,2832
Saudi Arabia,16234,18639,20664,23816,27421,31718,34269
State of Palestine,2101,2619,3224,3578,4056,4529,4981
Syria,12446,14345,16411,18361,21363,17997,17070
Turkey,53922,58486,63240,67903,72327,78529,83430
United Arab Emirates,1828,2415,3134,4588,8550,9263,9771
Yemen,11710,14913,17409,20107,23155,26498,29162
Kazakhstan,16384,15839,14923,15403,16252,17572,18551
Kyrgyzstan,4373,4566,4921,5075,5422,5959,6416
Tajikistan,5284,5765,6216,6789,7527,8454,9321
Turkmenistan,3684,4208,4516,4755,5087,5565,5942
Uzbekistan,20398,22791,24770,26428,28516,30930,32982
Afghanistan,12412,18111,20780,25654,29186,34414,38042
Bangladesh,103172,115170,127658,139036,147575,156256,163046
Bhutan,531,535,591,649,686,728,763
India,873278,963923,1056576,1147610,1234281,1310152,1366418
Iran,56366,61443,65623,69762,73763,78492,82914
Maldives,223,254,279,320,366,455,531
Nepal,18905,21576,23941,25745,27013,27015,28609
Pakistan,107648,123777,142344,160304,179425,199427,216565
Sri Lanka,17326,18243,18778,19545,20262,20908,21324
China,1197362,1262277,1312517,1353482,1391998,1430405,1457558
China Hong Kong SAR,5728,6084,6606,6770,6966,7186,7436
China Macao SAR,344,386,428,483,538,602,640
North Korea,20293,21862,22929,23904,24549,25184,25666
Japan,124505,126365,127524,128326,128542,127985,126860
Mongolia,2184,2298,2397,2526,2720,2998,3225
South Korea,42918,45293,47379,48701,49546,50823,51225
Brunei Darussalam,259,297,333,365,389,415,433
Cambodia,8976,10656,12155,13273,14312,15521,16487
Indonesia,181413,196934,211514,226289,241834,258383,270626
Laos,4258,4846,5324,5752,6249,6741,7169
Malaysia,18030,20488,23194,25691,28208,30271,31950
Myanmar,41335,43902,46720,48950,50601,52681,54045
Philippines,61895,69784,77992,86326,93967,102113,108117
Singapore,3013,3526,4029,4266,5131,5592,5804
Thailand,56558,59467,62953,65416,67195,68715,69626
Timor-Leste,738,844,884,995,1094,1196,1293
Vietnam,67989,74910,79910,83833,87968,92677,96462
Anguilla,9,10,11,12,13,14,15
Antigua and Barbuda,63,69,76,81,88,94,97
Aruba,62,80,91,100,102,104,106
Bahamas,256,280,298,325,355,374,389
Barbados,261,266,272,276,282,285,287
British Virgin Islands,17,19,20,23,28,29,30
Bonaire Sint Eustatius and Saba,13,15,14,14,21,25,26
Cayman Islands,25,32,42,49,57,62,65
Cuba,10597,10888,11126,11262,11226,11325,11333
Curaçao,147,144,132,130,149,160,163
Dominica,70,71,70,71,71,71,72
Dominican Republic,7133,7819,8471,9097,9695,10282,10739
Grenada,96,100,103,105,106,110,112
Guadeloupe,426,437,458,446,453,446,448
Haiti,7038,7745,8464,9195,9949,10696,11263
Jamaica,2420,2534,2655,2740,2810,2891,2948
Martinique,358,369,387,397,395,378,376
Montserrat,11,10,5,5,5,5,5
Puerto Rico,3403,3568,3669,3632,3580,3382,2933
Saint Kitts and Nevis,40,42,44,47,49,51,53
Saint Lucia,138,147,157,163,174,179,183
Saint Vincent and the Grenadines,107,108,108,109,108,109,111
Sint Maarten (Dutch part),29,31,33,33,34,40,42
Trinidad and Tobago,1221,1254,1267,1297,1328,1370,1395
Turks and Caicos Islands,12,16,20,28,33,36,38
United States Virgin Islands,104,107,109,108,106,105,105
Belize,188,207,247,284,322,361,390
Costa Rica,3119,3546,3962,4286,4577,4848,5048
El Salvador,5270,5629,5888,6052,6184,6325,6454
Guatemala,9264,10408,11651,13096,14630,16252,17581
Honduras,4955,5709,6575,7459,8317,9113,9746
Mexico,83943,91663,98900,106005,114093,121858,127576
Nicaragua,4173,4652,5069,5439,5824,6223,6546
Panama,2471,2740,3030,3330,3643,3968,4246
Argentina,32619,34828,36871,38893,40896,43075,44781
Bolivia,6865,7622,8418,9232,10049,10870,11513
Brazil,149003,162020,174790,186127,195714,204472,211050
Chile,13275,14381,15342,16183,17063,17969,18952
Colombia,33103,36421,39630,42648,45223,47521,50339
Ecuador,10231,11455,12681,13826,15011,16212,17374
Falkland Islands,2,2,3,3,3,3,3
French Guiana,116,137,163,203,233,261,291
Guyana,743,761,747,746,749,767,783
Paraguay,4223,4777,5323,5824,6248,6689,7045
Peru,22071,24299,26460,27866,29028,30471,32510
Suriname,405,442,471,499,529,559,581
Uruguay,3110,3224,3320,3322,3359,3412,3462
Venezuela,19633,21931,24192,26432,28440,30082,28516
Australia,16961,17993,18991,20179,22155,23933,25203
New Zealand,3398,3675,3859,4135,4370,4615,4783
Fiji,729,775,811,822,860,869,890
New Caledonia,170,193,217,236,254,271,283
Papua New Guinea,4616,5187,5848,6495,7311,8108,8776
Solomon Islands,312,359,413,470,528,603,670
Vanuatu,147,168,185,209,236,271,300
